time (s)	det(V)
7042.984576	-1.526749	
7042.986243	-1.526732	
7042.987810	-1.526809	
7042.989525	-1.526728	
7042.991066	-1.526829	
7042.992774	-1.526736	
7042.994292	-1.526829	
7042.996005	-1.526821	
7042.997498	-1.526793	
7042.999043	-1.526934	
7043.000558	-1.526881	
7043.002125	-1.526930	
7043.003667	-1.526950	
7043.005199	-1.526869	
7043.006808	-1.526926	
7043.008297	-1.526753	
7043.009933	-1.526922	
7043.011457	-1.527002	
7043.013111	-1.526926	
7043.014591	-1.527018	
7043.016233	-1.526873	
7043.017709	-1.526922	
7043.019347	-1.526922	
7043.020827	-1.526893	
7043.022456	-1.526970	
7043.023951	-1.526869	
7043.025602	-1.526821	
7043.027120	-1.526821	
7043.028768	-1.526942	
7043.030295	-1.526962	
7043.031937	-1.526736	
7043.033497	-1.526978	
7043.035095	-1.526893	
7043.036698	-1.526950	
7043.038252	-1.526906	
7043.039871	-1.526914	
7043.041385	-1.526962	
7043.043072	-1.526966	
7043.044650	-1.526829	
7043.046334	-1.526934	
7043.047907	-1.526910	
7043.049572	-1.526889	
7043.051142	-1.526946	
7043.052837	-1.526958	
7043.054378	-1.526914	
7043.056093	-1.526918	
7043.057617	-1.526821	
7043.059358	-1.526845	
7043.060860	-1.526982	
7043.062609	-1.527014	
7043.064091	-1.526958	
7043.065853	-1.526942	
7043.067345	-1.526942	
7043.069115	-1.526934	
7043.070591	-1.526898	
7043.072370	-1.526861	
7043.073861	-1.526942	
7043.075607	-1.526970	
7043.077105	-1.526861	
7043.078833	-1.526934	
7043.080345	-1.526962	
7043.082071	-1.526853	
7043.083609	-1.526841	
7043.085323	-1.526720	
7043.086868	-1.527035	
7043.088567	-1.526789	
7043.090128	-1.526982	
7043.091797	-1.526922	
7043.093373	-1.526845	
7043.095015	-1.526898	
7043.096613	-1.526954	
7043.098249	-1.526805	
7043.099856	-1.527006	
7043.101487	-1.526890	
7043.103106	-1.526934	
7043.104719	-1.526898	
7043.106391	-1.526890	
7043.107971	-1.526926	
7043.109657	-1.526873	
7043.111228	-1.526938	
7043.112904	-1.526978	
7043.114468	-1.526821	
7043.116168	-1.526890	
7043.117717	-1.526865	
7043.119423	-1.526966	
7043.120947	-1.526845	
7043.122688	-1.526962	
7043.124192	-1.526994	
7043.125960	-1.526930	
7043.127438	-1.526938	
7043.129218	-1.526853	
7043.130713	-1.526930	
7043.132503	-1.526946	
7043.133982	-1.526893	
7043.135784	-1.526954	
7043.137268	-1.526841	
7043.139023	-1.526881	
7043.140517	-1.526865	
7043.142251	-1.526845	
7043.143757	-1.526861	
7043.145516	-1.526797	
7043.147042	-1.526902	
7043.148751	-1.526845	
