time (s)	det(V)
3467.141785	-1.101249	
3467.143538	-1.146934	
3467.145023	-1.188486	
3467.146804	-1.154427	
3467.148288	-1.252315	
3467.150071	-1.241838	
3467.151556	-1.281436	
3467.153328	-1.245189	
3467.154823	-1.394281	
3467.156585	-1.298492	
3467.158089	-1.405468	
3467.159837	-1.359658	
3467.161358	-1.474985	
3467.163072	-1.365386	
3467.164614	-1.518962	
3467.166316	-1.407341	
3467.167856	-1.523973	
3467.169558	-1.428743	
3467.171123	-1.525512	
3467.172811	-1.485813	
3467.174389	-1.526406	
3467.176055	-1.506301	
3467.177646	-1.526430	
3467.179321	-1.521322	
3467.180920	-1.526624	
3467.182554	-1.525613	
3467.184150	-1.526527	
3467.185775	-1.526720	
3467.187413	-1.526543	
3467.189009	-1.526757	
3467.190674	-1.526740	
3467.192260	-1.526821	
3467.193914	-1.526732	
3467.195492	-1.526922	
3467.197171	-1.526740	
3467.198737	-1.526821	
3467.200435	-1.526752	
3467.201932	-1.526809	
3467.203505	-1.526789	
3467.204997	-1.526797	
3467.206624	-1.526789	
3467.208124	-1.526757	
3467.209696	-1.526857	
3467.211261	-1.526982	
3467.212775	-1.526752	
3467.214437	-1.526869	
3467.215912	-1.526865	
3467.217535	-1.526934	
3467.219050	-1.526821	
3467.220680	-1.527030	
3467.222157	-1.526777	
3467.223819	-1.526853	
3467.225293	-1.526938	
3467.226932	-1.526889	
3467.228415	-1.526910	
3467.230113	-1.526813	
3467.231603	-1.527018	
3467.233312	-1.526942	
3467.234811	-1.526990	
3467.236467	-1.526974	
3467.238001	-1.526865	
3467.239641	-1.526861	
3467.241183	-1.526966	
3467.242791	-1.526926	
3467.244371	-1.526898	
3467.245953	-1.526849	
3467.247567	-1.526962	
3467.249108	-1.526885	
3467.250758	-1.526926	
3467.252353	-1.526942	
3467.254020	-1.526998	
3467.255610	-1.526942	
3467.257299	-1.527035	
3467.258894	-1.526930	
3467.260564	-1.526946	
3467.262132	-1.526922	
3467.263825	-1.526906	
3467.265375	-1.526994	
3467.267082	-1.527006	
3467.268639	-1.526970	
3467.270355	-1.526990	
3467.271864	-1.526998	
3467.273627	-1.526990	
3467.275117	-1.526922	
3467.276887	-1.526893	
3467.278369	-1.526970	
3467.280150	-1.526873	
3467.281632	-1.526986	
3467.283408	-1.526978	
3467.284894	-1.527051	
3467.286668	-1.527030	
3467.288160	-1.526998	
3467.289934	-1.526918	
3467.291435	-1.526994	
